Latitude (°N),Longitude (°E),Altitude (m),Hour,Minute,Second
41.78310,-1.59089,33690,14,29,43
41.77940,-1.63285,33767,14,34,20
41.77739,-1.67731,33746,14,38,57
41.78067,-1.72421,33864,14,43,34
41.78229,-1.77186,28580,14,48,11
41.78020,-1.80269,21273,14,52,48
41.77317,-1.79426,16734,14,57,25
41.78322,-1.74419,13404,15,02,02
41.83838,-1.66313,11083,15,06,39
41.8694,-1.6224,9879,15,09,31
41.906,-1.5753,7532.8,15,14,41
41.9409,-1.5237,5717.3,15,19,50
41.9732,-1.4797,3911,15,25,00
41.9853,-1.4784,2532.2,15,30,10
41.9592,-1.4787,1174.4,15,35,20
